tilt,par0,par1
0,0.284685,-292.479
1,0.245153,-285.981
2,0.426359,-271.157
3,0.616102,-258.688
4,0.56564,-245.721
5,0.532173,-232.859
6,0.476997,-217.792
7,0.433848,-203.467
8,0.410708,-189.373
9,0.317965,-174.156
10,0.310211,-158.427
11,0.331215,-142.594
12,0.321634,-127.9
13,0.290668,-112.202
14,0.279672,-96.1813
15,0.272481,-79.6508
16,0.222805,-63.5908
17,0.222009,-46.7142
18,0.172178,-29.6264
19,0.190053,-12.1294
20,0.226669,5.67728
21,0.210915,22.9346
22,0.189302,38.0202
23,0.22278,49.3045
24,0.160824,55.3754
25,0.215997,58.5273
26,0.286032,58.2053
27,0.225596,54.8207
28,0.270926,46.3218
29,0.264413,28.8104
30,0.226954,0.639112
31,0.248227,-40.3747
32,0.189569,-91.3174
33,0.202226,-132.067
34,0.224452,-145.946
35,0.248146,-134.846
36,0.265491,-101.905
37,0.328415,-64.0984
38,0.346846,-34.2353
39,0.247924,-24.7869
40,0.325338,-30.302
41,0.32734,-49.9612
42,0.376431,-89.0539
43,0.310346,-139.083
44,0.322355,-212.249
45,0.205164,-284.658
