0000  0  0.1  160001  50.797  50.797  1.11649  22.1388  21.981
0001  1  0.1  160001  50.4508  50.287  1.12205  22.1393  22.0228
0002  2  0.1  160001  49.5658  49.4129  1.13489  22.1741  22.0281
0003  3  0.1  160001  48.1766  47.9707  1.1574  22.1701  21.9889
0004  4  0.1  160001  46.7464  46.5083  1.18091  22.1998  22.0198
0005  5  0.1  160001  45.1312  44.7881  1.20717  22.2525  22.032
0006  6  0.1  160000  43.5135  43.1934  1.23274  22.2792  22.0048
0007  7  0.1  160001  41.8489  41.2452  1.26076  22.315  22.006
0008  8  0.1  160000  40.0913  39.2153  1.28731  22.3565  21.9913
0009  9  0.1  160001  38.3733  36.6327  1.31735  22.4473  22.0044
0010  10  0.1  160001  36.6291  22.1463  1.34683  22.4937  22.0168
0011  11  0.1  160001  34.7556  19.599  1.37858  22.5643  22.0257
0012  12  0.1  160001  32.9585  18.3965  1.40777  22.6574  22.0431
0013  13  0.1  160001  31.136  18.133  1.43838  22.7417  22.0165
0014  14  0.1  160001  29.1901  14.8683  1.46841  22.8321  22.0156
0015  15  0.1  160001  27.3675  14.9521  1.50115  22.96  22.0264
0016  16  0.1  160001  25.3515  13.3048  1.53216  23.0627  22.0303
0017  17  0.1  160001  23.533  13.4492  1.56784  23.1699  22.022
0018  18  0.1  160001  21.4722  12.515  1.59851  23.3362  22.0578
0019  19  0.1  160001  19.6967  11.8109  1.63301  23.4717  22.0448
0020  20  0.1  160000  17.8526  11.4689  1.66704  23.6125  22.0504
0021  21  0.1  160001  15.9837  11.1012  1.70221  23.7837  22.0528
0022  22  0.1  160000  14.3301  10.7998  1.73737  23.9118  22.0296
0023  23  0.1  160001  12.6679  10.3767  1.77331  24.1168  22.0757
0024  24  0.1  160001  11.352  9.98549  1.81363  24.3233  22.0864
0025  25  0.1  160001  10.2654  9.67599  1.85088  24.5166  22.1002
0026  26  0.1  160001  9.51553  9.39157  1.88745  24.7456  22.1155
0027  27  0.1  160001  9.22524  9.2413  1.93049  24.9609  22.1028
0028  28  0.1  160001  9.77176  9.57387  1.96935  25.1915  22.1243
0029  29  0.1  160000  10.7108  9.93498  2.01086  25.46  22.1397
0030  30  0.1  160001  11.8675  10.3213  2.05136  25.7271  22.1684
0031  31  0.1  160000  12.8507  10.7393  2.09488  26.0399  22.184
0032  32  0.1  160001  13.594  11.1053  2.14244  26.3157  22.2025
0033  33  0.1  160001  14.0834  11.4958  2.18579  26.6495  22.2049
0034  34  0.1  160001  14.3301  11.794  2.23475  26.9601  22.2319
0035  35  0.1  160001  14.5157  12.2594  2.2815  27.2742  22.2376
0036  36  0.1  160001  14.7036  12.7978  2.33343  27.6765  22.2654
0037  37  0.1  160001  14.7083  13.2932  2.38362  28.0669  22.2845
0038  38  0.1  160000  14.5791  13.784  2.43586  28.3958  22.2666
0039  39  0.1  160001  14.322  14.0869  2.49022  28.9015  22.3299
0040  40  0.1  160001  14.0041  14.2932  2.54665  29.3189  22.3461
0041  41  0.1  160001  14.0586  14.6001  2.60466  29.7929  22.3615
0042  42  0.1  160001  13.8046  14.2248  2.66478  30.2877  22.3855
0043  43  0.1  160000  13.7176  13.7201  2.72603  30.81  22.4199
0044  44  0.1  160000  13.5094  13.3782  2.79085  31.3602  22.4335
0045  45  0.1  160001  13.5284  13.2025  2.85409  31.97  22.4702
0046  46  0.1  160001  13.8553  13.6582  2.92435  32.5922  22.5079
0047  47  0.1  160001  14.2016  14.3651  2.99474  33.2699  22.5481
0048  48  0.1  160001  15.169  15.4232  3.0706  33.9408  22.5702
0049  49  0.1  160001  15.8609  16.1646  3.1469  34.6233  22.5786
0050  50  0.1  160000  16.1816  16.5708  3.22696  35.4089  22.6206
0051  51  0.1  160001  16.6541  17.1286  3.31369  36.2326  22.667
0052  52  0.1  160001  16.7863  17.3802  3.40029  37.128  22.7161
0053  53  0.1  160001  16.9979  17.5381  3.49052  38.0801  22.7598
0054  54  0.1  160000  17.1513  17.0045  3.58761  39.0169  22.791
0055  55  0.1  160001  17.125  16.1522  3.69128  40.0518  22.8148
