tilt,par0,par1
0,0.369676,-443.188
1,0.7353,-430.159
2,1.01999,-417.08
3,0.945282,-408.437
4,0.776776,-396.098
5,0.815467,-381.767
6,0.731487,-369.768
7,0.626172,-354.061
8,0.529352,-340.385
9,0.414179,-325.176
10,0.51047,-311.104
11,0.389214,-297.598
12,0.427926,-281.398
13,0.335156,-266.453
14,0.406052,-251.164
15,0.364136,-236.566
16,0.250765,-221.009
17,0.301026,-205.633
18,0.27155,-187.806
19,0.245683,-171.804
20,0.252147,-154.924
21,0.290571,-137.723
22,0.255891,-120.536
23,0.236507,-101.67
24,0.256987,-83.9491
25,0.235835,-65.0398
26,0.211933,-45.8465
27,0.232414,-26.1335
28,0.210475,-6.61112
29,0.218474,14.3047
30,0.253958,34.0259
31,0.248202,51.0027
32,0.26627,65.1064
33,0.265995,76.3478
34,0.192422,81.9957
35,0.311937,84.5605
36,0.250386,82.2921
37,0.305604,78.0458
38,0.328448,67.4934
39,0.314796,50.2433
40,0.233941,24.3162
41,0.360649,-14.6315
42,0.300146,-77.8043
43,0.349857,-149.161
44,0.359652,-207.51
45,0.319616,-227.54
46,0.338679,-208.788
47,0.379747,-160.914
48,0.324319,-99.4269
49,0.409508,-55.1364
50,0.507282,-42.9743
51,0.349004,-50.8673
52,0.360119,-73.7194
53,0.437556,-115.307
54,0.412217,-192.268
55,0.394114,-300.178
56,0.429175,-421.137
57,0.438544,-482.099
58,0.461797,-437.717
59,0.361512,-341.212
60,0.437731,-295.584
61,0.284656,-321.867
62,0.47376,-397.103
63,0.41962,-525.887
64,0.372142,-631.019
65,0.270658,-596.032
66,0.339584,-510.327
67,0.382449,-533.169
68,0.367978,-645.362
69,0.379353,-729.574
70,0.388164,-653.287
71,0.276802,-669.724
72,0.377877,-790.483
73,0.394469,-743.548
74,0.240284,-748.768
75,0.513208,-815.371
76,0.36758,-828.468
77,-0.10301,-782.084
78,0.321592,-897.284
79,0.459088,-891.614
80,0.322894,-882.27
81,0.322101,-884.801
82,0.354401,-871.096
83,0.159495,-844.853
84,0.133536,-791.726
85,0.0285324,-731.817
