0000  0  0.1  160001  32.6382 23.5847  1.18109  22.008  0
0001  1  0.1  160001  32.336 23.2086  1.18589  21.9926  0
0002  2  0.1  160001  31.6295 22.8099  1.20027  21.9949  0
0003  3  0.1  160001  30.3164 21.7201  1.22953  22.0076  0
0004  4  0.1  160000  29.0082 20.5945  1.26226  22.0885  0
0005  5  0.1  160001  27.6244 19.5591  1.29476  22.1052  0
0006  6  0.1  160001  26.1054 18.374  1.33264  22.1311  0
0007  7  0.1  160001  24.4682 17.182  1.3696  22.1586  0
0008  8  0.1  160001  22.7504 16.0258  1.40788  22.1964  0
0009  9  0.1  160001  21.1055 15.2748  1.44667  22.2269  0
0010  10  0.1  160001  19.4614 14.1079  1.48892  22.3504  0
0011  11  0.1  160001  17.7088 12.6147  1.52662  22.4125  0
0012  12  0.1  160001  15.9974 11.0628  1.5682  22.49  0
0013  13  0.1  160001  14.2579 10.2373  1.61134  22.5558  0
0014  14  0.1  160001  12.6487 9.46065  1.65673  22.691  0
0015  15  0.1  160000  11.1606 8.38922  1.69976  22.7835  0
0016  16  0.1  160000  9.78551 7.34953  1.74606  22.9203  0
0017  17  0.1  160001  8.72024 6.4288  1.78978  23.0343  0
0018  18  0.1  160001  7.96239 6.25357  1.83447  23.1438  0
0019  19  0.1  160000  7.51615 6.12087  1.8832  23.2962  0
0020  20  0.1  160001  7.53397 6.12899  1.9313  23.4429  0
0021  21  0.1  160001  7.98307 6.27762  1.98014  23.584  0
0022  22  0.1  160000  8.9787 7.1447  2.0308  23.8171  0
0023  23  0.1  160000  9.88329 7.99204  2.08339  23.9388  0
0024  24  0.1  160001  10.4067 8.18905  2.13339  24.1704  0
0025  25  0.1  160001  10.7815 8.30589  2.18659  24.3586  0
0026  26  0.1  160000  11.0407 8.95693  2.24166  24.5521  0
0027  27  0.1  160001  11.1668 8.99866  2.2974  24.7607  0
0028  28  0.1  160000  11.2659 9.01462  2.35551  25.0094  0
0029  29  0.1  160001  11.1565 8.97895  2.41275  25.2631  0
0030  30  0.1  160001  11.0361 8.95486  2.47219  25.5132  0
0031  31  0.1  160001  10.8921 8.90334  2.53333  25.805  0
0032  32  0.1  160001  10.7751 8.87506  2.596  26.048  0
0033  33  0.1  160001  10.6459 8.85933  2.66378  26.4028  0
0034  34  0.1  160000  10.5637 8.81424  2.72768  26.7313  0
0035  35  0.1  160001  10.5942 8.8248  2.79762  27.0943  0
0036  36  0.1  160001  10.5668 8.82272  2.86428  27.4408  0
0037  37  0.1  160001  11.0446 8.92092  2.93671  27.8516  0
0038  38  0.1  160001  11.5354 9.12497  3.01224  28.2585  0
0039  39  0.1  160001  12.1229 9.90256  3.08898  28.6478  0
0040  40  0.1  160001  12.7914 10.0936  3.16712  29.0671  0
0041  41  0.1  160001  13.0196 10.7118  3.24906  29.5598  0
0042  42  0.1  160001  13.2711 10.8566  3.3329  29.9991  0
0043  43  0.1  160001  13.4122 10.8629  3.42223  30.5647  0
0044  44  0.1  160001  13.6191 10.9455  3.51364  31.1094  0
0045  45  0.1  160001  13.716 10.98  3.60258  31.6618  0
