tilt,par0,par1,par2,par3
0,0.826601,-444.899,-95.7349,18431.5
1,0.665583,-415.962,-69.5173,15796
2,0.483353,-357.259,5.02878,10484
3,0.630279,-330.176,7.99395,8746.79
4,0.569653,-301.926,7.56217,6933.92
5,0.620836,-277.946,-12.5634,5602.11
6,0.557763,-259.072,-12.0106,5143.9
7,0.536592,-240.036,-18.8273,4591.62
8,0.468313,-221.12,-8.93155,4017.12
9,0.395963,-205.03,-15.3678,3956.94
10,0.415746,-186.029,-19.9228,3549.17
11,0.441102,-169.425,-21.2054,3491.44
12,0.390542,-148.751,-13.2608,2730.83
13,0.372892,-134.227,-15.7951,2917.06
14,0.297445,-115.312,-3.03803,2545.35
15,0.28208,-96.5142,-1.30107,2265.16
16,0.208556,-79.4651,3.84276,2139.82
17,0.234161,-58.7926,-1.81945,1636.5
18,0.203669,-38.1639,-6.24441,1158.88
19,0.14887,-16.3153,9.00147,570.028
20,0.181796,4.84629,9.09335,113.693
21,0.195292,23.1606,2.93524,-30.557
22,0.257719,30.7225,-12.1262,971.471
23,0.332465,38.5238,-19.6305,1407.84
24,0.229182,51.2404,-13.3224,536.376
25,0.338681,68.6545,-26.8499,-1331.4
26,0.342143,81.0859,-15.0467,-3118.01
27,0.315863,87.3324,-29.6704,-4714.64
28,0.297796,74.2485,-12.5915,-4384.61
29,0.270155,36.8136,-3.74415,-1363.74
30,0.190058,-20.1765,26.8868,3982.11
31,0.244576,-80.7181,5.33132,9071.41
32,0.170503,-126.802,27.0296,10139
33,0.188733,-138.353,19.2099,2307.94
34,0.171817,-108.834,70.7058,-15204
35,0.166766,-65.7425,79.0078,-26732.1
36,0.161017,-12.5553,91.1604,-32203.5
37,0.226682,45.4614,64.5082,-35547
38,0.311994,89.2241,8.96648,-36688.9
39,0.248841,100.672,16.9128,-34670.9
40,0.275426,86.1883,28.5238,-30687.2
41,0.340376,43.2003,-32.7017,-24131.3
42,0.344309,-30.2474,20.8349,-15268.7
43,0.312076,-123.646,-2.44791,-4193.07
44,0.306011,-228.682,26.6081,5112.66
45,0.221834,-308.504,-27.5767,8738.79
