0000  0  0.1  160001  32.7071 23.6923  1.18091  22.0725  0
0001  1  0.1  160001  32.4918 23.299  1.18682  22.0704  0
0002  2  0.1  160000  31.5171 22.7922  1.20433  22.0556  0
0003  3  0.1  160001  30.3485 21.7962  1.23276  22.1043  0
0004  4  0.1  160001  28.9058 20.6409  1.26814  22.0978  0
0005  5  0.1  160001  27.3634 19.4955  1.30687  22.1938  0
0006  6  0.1  160001  25.701 18.2517  1.34625  22.206  0
0007  7  0.1  160001  24.1005 17.0686  1.38437  22.2512  0
0008  8  0.1  160001  22.3972 15.8504  1.42545  22.2803  0
0009  9  0.1  160001  20.733 14.6143  1.46995  22.3622  0
0010  10  0.1  160001  18.9644 13.3875  1.5085  22.4218  0
0011  11  0.1  160000  17.3637 12.6862  1.55264  22.5234  0
0012  12  0.1  160001  15.634 11.3264  1.59714  22.585  0
0013  13  0.1  160001  13.9397 9.75395  1.64401  22.6699  0
0014  14  0.1  160001  12.3394 8.6433  1.68479  22.7738  0
0015  15  0.1  160001  10.7662 7.65189  1.73299  22.8964  0
0016  16  0.1  160001  9.47545 7.27954  1.78041  23.0014  0
0017  17  0.1  160001  8.42265 6.37212  1.82654  23.1251  0
0018  18  0.1  160000  7.56343 6.1255  1.87681  23.2709  0
0019  19  0.1  160001  7.18808 6.01884  1.9257  23.394  0
0020  20  0.1  160001  7.30781 6.06585  1.9742  23.5916  0
0021  21  0.1  160001  7.99643 6.26953  2.02648  23.7408  0
0022  22  0.1  160001  8.72376 7.07774  2.07914  23.9123  0
0023  23  0.1  160001  9.5353 7.32214  2.13158  24.125  0
0024  24  0.1  160001  9.98036 8.04472  2.18832  24.2673  0
0025  25  0.1  160001  10.3087 8.14981  2.24039  24.4819  0
0026  26  0.1  160001  10.4394 8.16885  2.2983  24.719  0
0027  27  0.1  160001  10.4167 8.1888  2.35411  24.9361  0
0028  28  0.1  160001  10.5577 8.23145  2.4144  25.1574  0
0029  29  0.1  160001  10.4945 8.19966  2.47581  25.3783  0
0030  30  0.1  160001  10.3282 8.15945  2.53648  25.6849  0
0031  31  0.1  160001  10.1915 8.12438  2.59895  25.9741  0
0032  32  0.1  160001  10.0804 8.09875  2.66342  26.2613  0
0033  33  0.1  160001  10.128 8.10104  2.72721  26.5776  0
0034  34  0.1  160001  10.0603 8.0667  2.79756  26.8918  0
0035  35  0.1  160001  10.2107 8.58692  2.86829  27.2345  0
0036  36  0.1  160001  10.4311 8.19111  2.94038  27.621  0
0037  37  0.1  160001  10.8127 8.91619  3.01538  28.0488  0
0038  38  0.1  160001  11.3715 9.07407  3.09101  28.4146  0
0039  39  0.1  160001  11.7147 9.75554  3.16677  28.8265  0
0040  40  0.1  160001  12.1281 9.89936  3.24794  29.2824  0
0041  41  0.1  160001  12.3004 9.95749  3.33054  29.7037  0
0042  42  0.1  160000  12.5946 10.0537  3.41823  30.264  0
0043  43  0.1  160001  12.6648 10.6323  3.50657  30.7314  0
0044  44  0.1  160001  12.8395 10.7031  3.59732  31.3316  0
0045  45  0.1  160001  12.9483 10.731  3.69728  31.8921  0
