tilt,par0,par1
0.0269084,-0.459129,-178.445
0.0907779,-0.412042,-154.844
0.0974764,-0.29155,-158.807
0.225882,-0.409054,-166.232
0.334196,-1.08412,-161.278
2.91484,-0.431714,-164.708
2.96288,-0.435278,-172.898
2.98722,-1.11836,-161.484
4.51947,-0.362401,-154.831
4.97518,-0.758957,-160.615
4.9814,-0.378232,-170.682
5.51652,-0.448704,-155.685
6.55101,-0.801042,-144.164
7.57211,-0.449507,-137.89
9.60164,-0.267034,-121.258
10.622,-0.3034,-111.137
11.6139,-0.311352,-104.552
12.6325,-0.517456,-89.3419
13.6269,-0.492944,-78.0526
14.6207,-0.590146,-72.1306
15.6296,-0.538137,-54.1149
16.6359,-0.502653,-38.6639
17.6421,-0.533847,-27.3129
18.6465,-0.451431,-6.34465
19.6397,-0.347343,7.80072
20.6339,-0.7582,22.2955
21.6317,-0.708797,40.8716
22.6269,-0.739013,50.2955
23.6387,-0.757815,56.7665
24.6468,-0.814039,64.7534
25.6594,-0.917256,70.3706
26.6604,-0.92232,69.9482
27.6571,-0.884757,69.3554
28.6198,-1.0856,69.8978
29.644,-1.01025,53.0012
30.6208,-1.27343,21.7943
31.6617,-0.899964,-17.498
32.6322,-0.932195,-56.8705
33.6672,-0.760125,-90.4484
34.6337,-0.966412,-94.707
35.6527,-1.25759,-70.9437
36.6223,-1.17946,-62.2039
37.6378,-1.30115,-36.2717
38.6113,-1.45811,-2.7558
39.6416,-1.58889,9.00278
40.6087,-0.826636,-23.4668
