tilt,par0,par1,par2,par3
0.18123,-1.64272,-618.481,318.134,28662.7
0.19624,1.33419,-446.562,-104.952,8457.95
5.94694,1.38676,-363.367,-132.534,3754.56
5.9908,0.37047,-427.274,52.2013,11369.5
10.0534,-0.521865,-341.222,59.9675,6142.15
10.0835,-0.822035,-327.617,91.6042,5116.78
14.0545,-1.81172,-299.375,149.943,7451.23
14.0841,-1.6602,-279.608,66.1689,5562.46
14.9875,-0.8085,-196.645,98.1821,-318.913
14.9966,-1.0033,-202.164,117.801,215.401
17.009,-0.600065,-169.105,57.6851,-89.5565
17.0091,-0.718845,-169.119,58.1699,304.249
18.0048,-0.508155,-156.993,53.019,752.736
18.0242,-0.391015,-149.071,17.8291,-317.345
19.014,-0.169986,-131.151,7.40197,-549.681
19.0172,-0.426818,-134.241,34.2936,51.6454
20.0187,-0.131973,-110.577,3.58197,-828.269
21.0115,-0.238878,-101.581,32.883,278.13
21.0119,-0.416492,-94.6119,42.8912,-483.574
21.999,-0.288677,-79.6731,16.3993,-220.459
22.0085,-0.342733,-79.1204,20.3693,21.1394
23.4598,-0.206494,-78.7207,27.451,1552.41
23.4602,-0.122899,-75.7233,5.88507,1176.76
24.3711,-0.126838,-64.0934,16.4897,1736.75
24.3713,-0.0448213,-59.3412,7.82577,1041.7
24.4399,0.0497729,-52.5187,40.0342,508.32
24.4428,0.332691,-45.274,8.37079,-304.955
24.4519,0.239088,-49.3075,15.6257,195.901
25.2692,-0.0145861,-40.1702,-1.79301,908.429
25.2734,-0.13386,-41.4476,14.2493,1199.57
25.6965,0.0529405,-33.7533,-3.18151,955.31
25.7007,-0.0839813,-34.3003,6.70155,993.369
26.0384,0.00285594,-14.406,-4.98973,811.675
26.1248,0.275177,-21.41,5.15926,394.314
26.1265,0.400347,-15.9328,-2.35361,-181.987
26.1734,-0.0809721,-18.714,22.2745,538.401
26.5999,-0.0148224,-15.4806,9.43793,1159.84
26.6011,0.202047,-10.9503,-29.4297,286.037
26.6012,0.0365228,-10.7052,-0.347734,427.885
26.6012,0.11127,-13.8727,-4.30602,819.431
27.0796,0.0886649,-1.40731,2.95172,799.412
27.0801,0.186972,-0.567304,-21.2762,677.744
27.0805,0.0899567,-0.253297,-3.2889,776.774
27.0811,0.092047,-1.44062,-8.54077,834.203
27.0822,0.0923566,-1.5193,-3.03779,618.102
27.0829,0.19796,3.83774,-8.96083,262.036
27.0829,0.200956,-1.48775,-17.5688,757.969
27.2587,0.277713,-11.0562,12.006,-142.902
27.4948,0.204608,5.28952,-17.6801,515.328
27.4949,0.20258,5.17032,-9.18061,738.741
27.5706,0.408558,2.46787,-15.8798,271.306
27.8411,0.616613,14.8705,-37.5239,94.6577
