RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,


# CHIP 504
# FEBRUARY 22
14634,014614,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.478332,-0.933863,55.2569,20.0387,-0.916264,-0.00949271,1.56166,-1.27259,40,0

14635,014635,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475039,-0.928611,55.2525,20,0.00001,-0.00411861,1.55984,-1.32841,40,0
14636,014636,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475045,-0.928561,55.2525,20,0.00001,-0.00411861,1.6377,-1.3289,40,0
14637,014637,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475094,-0.929369,55.2525,20,0.00001,-0.00411861,1.5623,-1.32658,40,0
14638,014638,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.524533,-0.928305,55.2525,20,0.00001,-0.00411861,1.63799,-1.32793,40,0
14639,014639,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475058,-0.931427,55.2525,20,0.00001,-0.00411861,1.56219,-1.32795,40,0
14640,014640,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.474992,-0.929976,55.2525,20,0.00001,-0.00411861,1.56032,-1.32871,40,0
14641,014641,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475037,-0.930222,55.2525,20,0.00001,-0.00411861,1.56204,-1.33016,40,0
14642,014642,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.475085,-0.925796,55.2525,20,0.00001,-0.00411861,1.56178,-1.27246,40,0
14643,014643,gear_desy2015_02a.xml,5.6,504,c504-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,0.524817,-0.927763,55.2525,20,0.00001,-0.00411861,1.56327,-1.27188,40,0






# APRIL 8
15384,015384,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim32-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15385,015385,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim32-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15386,015386,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim32-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15387,015387,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim31-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15388,015388,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim31-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15389,015389,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim30-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15390,015390,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim29-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15393,015393,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15394,015394,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim27-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15395,015395,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim34-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15398,015398,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim38-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15400,015400,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15401,015401,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15402,015402,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15403,015403,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15404,015404,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15405,015405,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15406,015406,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15407,015407,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15408,015408,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15409,015409,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15410,015410,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15411,015411,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15412,015412,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15413,015413,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15414,015414,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15415,015415,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15416,015416,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
15417,015417,gear_desy2015_04a.xml,5.6,504,c504-ia24-trim36-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,55.2525,21,0.00001,-0.00411861,-1,-0.1,40,0
