RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,

# JANUAR 25
14364,014364,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14366,014366,gear_desy2015_01a.xml,5.6,500,c500-ia23-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14367,014367,gear_desy2015_01a.xml,5.6,500,c500-ia22-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14369,014369,gear_desy2015_01a.xml,5.6,500,c500-ia21-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14371,014371,gear_desy2015_01a.xml,5.6,500,c500-ia25-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14372,014372,gear_desy2015_01a.xml,5.6,500,c500-ia27-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14373,014373,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14374,014374,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14375,014375,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
14376,014376,gear_desy2015_01a.xml,5.6,500,c500-ia24-trim30-chiller15-gaincal.dat,desy_weibull_decorr_pos,0,404,c404-ia27-trim30.dat,desy_weibull_decorr_pos,-1.93393,0.124138,60.2525,0.24,0.00001,-0.00411861,-1,-0.1,40,0
