tilt,par0,par1
14.9875,0.250031,194.499
14.9966,0.2911,196.742
17.009,0.248046,166.196
17.0091,0.365092,163.452
18.0048,0.200643,147.848
18.0242,0.253107,147.878
19.014,0.0903019,131.111
19.0172,0.217511,129.659
20.0187,0.114255,113.08
21.0115,0.0851127,95.7439
21.0119,0.170914,94.6141
21.999,0.237927,77.9936
22.0085,0.294961,76.1702
23.4602,0.0467642,62.7012
23.4598,0.0255008,63.1097
24.3713,-0.011398,47.4584
24.3711,0.000284558,47.1342
24.4519,-0.344862,43.7063
24.4428,-0.397266,43.4326
24.4399,-0.263033,44.7766
25.2692,0.0392749,29.7682
25.2734,0.0478291,28.5254
25.6965,-0.0335165,22.6987
25.7007,0.0347824,22.8215
26.1734,-0.0305001,11.1725
26.0384,0.109608,6.86701
26.1265,-0.369296,13.365
26.1248,-0.30164,14.3128
26.6011,-0.0239445,4.96308
26.6012,-0.023644,3.66026
26.6012,-0.0758788,4.13732
26.5999,-0.0227114,3.26961
27.0801,0.0027231,-7.60816
27.0796,-0.0531515,-7.46426
27.0829,-0.0730001,-8.77254
27.0805,-0.0162551,-8.55026
27.0811,0.0238806,-7.75497
27.0829,-0.0557184,-7.52958
27.0822,-0.0285262,-6.39036
27.2587,-0.452132,7.0086
27.4948,-0.0634185,-12.5634
27.4949,-0.100676,-13.9658
27.5706,-0.387805,-9.27289
27.8476,-0.344999,-19.5626
27.8411,-0.370313,-19.3271
27.9736,-0.0778776,-20.9678
28.3833,-0.0731482,-33.2621
28.3851,-0.0326509,-32.5076
29.2822,-0.0567146,-48.7554
29.2825,-0.0546283,-49.3435
29.5739,-0.45299,-53.0508
29.5729,-0.385281,-53.3213
29.5708,-0.450521,-52.8176
29.7669,-0.16436,-57.1439
29.7643,-0.0586232,-56.9445
30.1799,-0.0360007,-65.4955
30.1758,-0.0850661,-64.3103
31.3333,-0.321365,-85.639
31.3316,-0.318697,-85.1134
31.5762,-0.121624,-84.1889
33.0987,-0.266404,-107.638
33.1038,-0.235228,-107.735
33.3824,-0.0316634,-101.51
34.8582,-0.184041,-120.11
34.8537,-0.26938,-120.818
36.6073,-0.111273,-123.127
36.6103,-0.170584,-124.364
36.9355,0.00216448,-103.632
38.3794,-0.0229948,-106.138
38.37,-0.0673198,-108.871
38.7302,-0.0523759,-91.7024
40.0538,-0.189919,-78.6142
40.0634,-0.118952,-78.6358
40.5237,-0.165799,-42.9246
40.5285,-0.311826,-77.0849
42.5386,-0.385236,19.5173
44.5387,-0.523708,108.239
46.5283,-0.580409,106.673
48.5366,-0.495993,23.3933
50.5331,-0.559301,-6.03142
52.5287,-0.507414,19.761
53.1163,-0.613785,45.2592
53.1196,-0.583457,50.9243
54.0633,-0.847268,100.342
54.0593,-0.616323,103.521
54.5121,-0.861997,130.88
54.9051,-0.704417,175.784
54.9108,-0.723768,186.184
55.8298,-1.05373,278.248
55.8315,-1.01723,280.863
56.5196,-1.15878,330.065
56.7205,-1.12833,380.048
56.7221,-1.0838,379.383
57.6342,-1.32366,437.338
57.6322,-1.31425,440.68
57.632,-1.23816,451.99
58.5245,-1.12601,409.949
58.5256,-1.07705,403.567
58.5251,-1.41937,347.534
59.532,-1.54514,275.3
59.4294,-1.17563,333.259
59.4271,-1.52373,345.583
60.3215,-0.983656,272.42
60.3258,-0.90379,276.1
60.52,-1.51096,245.378
61.2251,-1.48441,308.56
61.2228,-1.31636,290.71
61.5377,-1.70487,304.296
62.1155,-1.40157,353.769
62.1132,-1.42721,344.974
62.5084,-1.60518,381.2
63.0288,-1.91781,467.047
63.0233,-1.7154,466.931
63.5291,-2.17509,536.906
63.9282,-2.02783,590.343
63.9255,-2.00504,597.793
64.5103,-2.3458,604.654
65.5083,-2.44105,576.821
65.7138,-1.95112,631.028
65.7157,-1.78974,619.785
66.5064,-1.80654,522.333
67.5112,-2.00338,615.444
67.5094,-2.19275,620.822
68.4893,-2.08638,713.631
69.2987,-2.13236,814.625
69.2964,-2.29842,830.323
70.4917,-2.6691,759.919
71.1018,-2.2345,820.76
71.1084,-2.77108,811.673
72.4923,-2.95655,968.768
72.9042,-2.93008,1007.62
72.9072,-2.72704,1030.15
74.4828,-2.1633,1080.3
74.7083,-2.66791,1099.36
74.7013,-3.16253,1114.39
76.4881,-3.51812,1250.06
76.4898,-2.93674,1250.56
76.4585,-2.66146,1220.13
78.2952,-3.36939,1429.1
78.297,-3.24864,1449.93
78.4658,-3.51787,1390.88
79.4047,-3.19431,1512.82
80.0888,-3.87594,1629.36
80.0854,-3.7586,1590.85
80.3576,-4.92136,1656.98
81.8739,-5.7643,1825.52
81.3258,-5.3013,1752.02
81.8796,-2.77141,1667.18
82.2513,-5.54008,1883.72
82.9092,-2.39228,1754.54
83.242,-2.57862,1866.03
84.2432,-5.06594,2130.18
