RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

# CHIP 504
# Testbeam March 2016

23536,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235857,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53148,-0.62729,48.6501,19.3988,0.0172726,-0.00567438,-2.6,-0.8,40,0,0,0,0
23537,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236121,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53139,-0.627032,48.7112,19.3932,0.0164137,-0.0056983,-2.6,-0.8,40,0,0,0,0
23538,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236209,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53016,-0.626852,48.578,19.3902,-0.00512803,-0.00568856,-2.6,-0.8,40,0,0,0,0
23539,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236097,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.52892,-0.626985,48.5655,19.3953,0.0095733,-0.00569326,-2.6,-0.8,40,0,0,0,0
23540,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236006,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.52959,-0.627172,48.7041,19.3958,-0.000385806,-0.00569343,-2.6,-0.8,40,0,0,0,0
23541,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236097,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53017,-0.627005,48.7225,19.3925,0.00676843,-0.00568273,-2.6,-0.8,40,0,0,0,0
23542,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.2361,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53086,-0.6269,48.7023,19.3942,0.00441253,-0.00570056,-2.6,-0.8,40,0,0,0,0
23543,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235965,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53126,-0.626739,48.7952,19.3881,0.00456449,-0.00568487,-2.6,-0.8,40,0,0,0,0
23544,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236359,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53116,-0.62651,48.678,19.3924,0.00983847,-0.00568097,-2.6,-0.8,40,0,0,0,0
23545,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236014,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53086,-0.626636,48.6991,19.3903,-0.00385186,-0.00568307,-2.6,-0.8,40,0,0,0,0
23546,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236055,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53114,-0.62667,48.7537,19.3929,0.00307761,-0.00568148,-2.6,-0.8,40,0,0,0,0
23547,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235955,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53129,-0.626698,48.6199,19.3907,-0.00460471,-0.00570114,-2.6,-0.8,40,0,0,0,0
23548,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235952,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53148,-0.62672,48.6771,19.3904,0.00533293,-0.005697,-2.6,-0.8,40,0,0,0,0
23549,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235802,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53207,-0.627009,48.6414,19.3925,0.00919976,-0.00568231,-2.6,-0.8,40,0,0,0,0
23550,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235648,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53238,-0.627113,48.7195,19.3892,0.0157055,-0.00567676,-2.6,-0.8,40,0,0,0,0
23551,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236007,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5323,-0.627007,48.6017,19.3899,0.00171355,-0.00570738,-2.6,-0.8,40,0,0,0,0
23552,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235888,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53206,-0.626941,48.6584,19.3925,-0.0069556,-0.00571623,-2.6,-0.8,40,0,0,0,0
23553,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236033,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53225,-0.62709,48.7061,19.393,-0.00915424,-0.00568317,-2.6,-0.8,40,0,0,0,0
23554,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235966,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53218,-0.627091,48.626,19.3928,0.00300249,-0.00570824,-2.6,-0.8,40,0,0,0,0
23555,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236268,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53259,-0.62742,48.6289,19.3933,0.000490009,-0.00570927,-2.6,-0.8,40,0,0,0,0
23556,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235597,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53342,-0.627466,48.6445,19.3891,0.021856,-0.00565688,-2.6,-0.8,40,0,0,0,0
23557,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235961,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53312,-0.627452,48.7269,19.395,0.00446131,-0.00570812,-2.6,-0.8,40,0,0,0,0
23558,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235653,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53327,-0.627489,48.5766,19.3914,-0.0127529,-0.005699,-2.6,-0.8,40,0,0,0,0
23559,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235877,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53377,-0.6275,48.5941,19.3936,-0.000442615,-0.00566944,-2.6,-0.8,40,0,0,0,0
23560,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235975,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53371,-0.627477,48.6657,19.3956,-0.0018782,-0.00569927,-2.6,-0.8,40,0,0,0,0
23561,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236045,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53355,-0.627328,48.6002,19.3922,0.0025127,-0.00567424,-2.6,-0.8,40,0,0,0,0
23562,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235932,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53334,-0.627203,48.642,19.3939,0.0182476,-0.00566101,-2.6,-0.8,40,0,0,0,0
23563,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235763,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53324,-0.627074,48.6359,19.3946,-0.00510211,-0.00570613,-2.6,-0.8,40,0,0,0,0
23564,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235936,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53348,-0.627108,48.6256,19.391,0.0189262,-0.00568418,-2.6,-0.8,40,0,0,0,0
23565,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.236085,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53373,-0.62715,48.7227,19.3929,0.00512014,-0.00567207,-2.6,-0.8,40,0,0,0,0
23566,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235808,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5336,-0.627165,48.6308,19.3911,0.00638385,-0.00570826,-2.6,-0.8,40,0,0,0,0
23567,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235958,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.5334,-0.627344,48.5672,19.3935,0.0101483,-0.0056558,-2.6,-0.8,40,0,0,0,0
23568,023518,gear_desy2016_03a.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.235851,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-2.53357,-0.627351,48.6283,19.3924,0.00439444,-0.00566393,-2.6,-0.8,40,0,0,0,0
