RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
19714,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.271769,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.73795,0.210469,43.3461,40.0538,-0.753667,-0.00605027,-3.9424,-0.0511376,40,0,0,0,0
19715,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.271466,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.7372,0.21136,43.4574,40.0634,-0.753918,-0.00610134,-3.94274,-0.0512131,40,0,0,0,0
19716,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.271256,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.73429,0.229167,43.2271,38.3794,-0.743268,-0.00597584,-3.94359,-0.0508693,40,0,0,0,0
19717,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.271936,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.73418,0.229292,43.3203,38.37,-0.744726,-0.00593384,-3.94361,-0.0506771,40,0,0,0,0
19718,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.272579,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.73076,0.247672,43.4412,36.6073,-0.732019,-0.00582704,-3.94497,-0.0525364,40,0,0,0,0
19719,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.273159,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.73053,0.247775,43.485,36.6103,-0.730068,-0.00584364,-3.94495,-0.0522272,40,0,0,0,0
19720,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.273661,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72809,0.264916,43.457,34.8582,-0.723268,-0.00573025,-3.94882,-0.0582504,40,0,0,0,0
19721,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.273828,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72838,0.264879,43.3746,34.8537,-0.720233,-0.00568987,-3.94847,-0.0578819,40,0,0,0,0
19722,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.274255,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72577,0.281789,43.4108,33.1038,-0.722576,-0.00563401,-3.95101,-0.0608718,40,0,0,0,0
19723,019714,gear_desy2015_06b.xml,5.6,506,c506-ia24-trim32tb-chiller15-gaincal.dat,desy_weibull_decorr_pos,0.274183,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-4.72601,0.281287,43.328,33.0987,-0.72397,-0.00555616,-3.95085,-0.0609819,40,0,0,0,0
