RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel

# CHIP 504
# MAY 25
#19658,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.271414,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99693,-0.346141,49.1753,21.1236,-1.00074,-0.0115385,-4.04176,-0.451761,40,0,0,0,0
19659,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272103,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99679,-0.345671,49.3245,21.1231,-1.00511,-0.0115283,-4.04176,-0.451761,40,0,0,0,0
19660,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.271853,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99646,-0.345342,49.1837,21.1228,-1.00734,-0.0115455,-4.04176,-0.451761,40,0,0,0,0
19661,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272618,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.9965,-0.344911,49.1955,21.1194,-1.00984,-0.0115188,-4.04176,-0.451761,40,0,0,0,0

#19662,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272865,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99644,-0.344764,49.1957,21.1239,-1.00811,-0.0115219,-4.04176,-0.451761,40,0,0,0,0

19663,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272613,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99654,-0.344902,49.2742,21.1206,-0.999549,-0.0115324,-4.04176,-0.451761,40,0,0,0,0
19664,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272471,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99648,-0.344597,49.2786,21.119,-1.00442,-0.0115306,-4.04176,-0.451761,40,0,0,0,0

#19665,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272398,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99619,-0.344804,49.3732,21.1142,-1.01536,-0.0115362,-4.04176,-0.451761,40,0,0,0,0

19666,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272467,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99675,-0.344291,49.1107,21.122,-1.00425,-0.011508,-4.04176,-0.451761,40,0,0,0,0

#19667,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272435,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99675,-0.344257,49.4324,21.1207,-0.991632,-0.0114862,-4.04176,-0.451761,40,0,0,0,0
#19668,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272655,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99647,-0.343959,49.2773,21.1185,-1.01352,-0.0115064,-4.04176,-0.451761,40,0,0,0,0

19669,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272241,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.9965,-0.344088,49.2236,21.1176,-1.00533,-0.0114883,-4.04176,-0.451761,40,0,0,0,0
19670,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272577,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99614,-0.343835,49.1728,21.1195,-1.01157,-0.0115083,-4.04176,-0.451761,40,0,0,0,0

#19671,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.271067,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99659,-0.343856,49.0887,21.1168,-1.01693,-0.0114979,-4.04176,-0.451761,40,0,0,0,0

19672,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272703,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99619,-0.344081,49.2346,21.1176,-1.02138,-0.0115203,-4.04176,-0.451761,40,0,0,0,0

#19673,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272913,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99622,-0.344257,49.3993,21.1114,-1.00958,-0.0115115,-4.04176,-0.451761,40,0,0,0,0

19674,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272429,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99589,-0.344415,49.2241,21.1181,-1.00783,-0.0114896,-4.04176,-0.451761,40,0,0,0,0

#19675,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.273607,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99578,-0.344382,49.2708,21.1289,-1.03311,-0.0115588,-4.04176,-0.451761,40,0,0,0,0
#19676,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.266906,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.484936,0.0633061,63.1257,22.5956,0.0792316,0.0151621,0.455568,-0.0360963,40,0,0,0,0
#19677,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.269123,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.492393,0.0739519,45.5301,20.4712,-0.91281,0.0120364,0.455568,-0.0360963,40,0,0,0,0
#19678,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272466,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99643,-0.344794,49.3094,21.1162,-1.02045,-0.0115014,-4.04176,-0.451761,40,0,0,0,0

19679,019658,gear_desy2015_05d.xml,5.6,504,c504-ia24-trim32tb-chiller17-gaincal.dat,desy_weibull_decorr_pos,0.272318,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,-3.99689,-0.34449,49.1925,21.118,-1.0152,-0.0115191,-4.04176,-0.451761,40,0,0,0,0
