RunNumber,AlignmentRun,GearFile,BeamEnergy,dut_chip,dut_gain,dut_gain_type,dut_conversion,ref_chip,ref_gain,ref_gain_type,dut_align_x,dut_align_y,dut_pos_z,dut_tilt,dut_turn,dut_rot,ref_align_x,ref_align_y,ref_pos_z,ref_rot,skipdut,skipref,skiptel
# Warning: no blank before dut_gain,ref_gain
# Warning: don''''t start with tilt = 0 or turn = 0 oe rot = 0: MillePede won''''t work (sin(0) = 0)'
# Warning: don''''t start with pos_z = 0: GBL crash when planes overlap'
# 2015 beams:,

20263,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256725,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.469955,0.0754562,42.9039,0.478343,-3.97053,0.0112572,0.455593,-0.0362027,40,0,0,0,0
20264,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256766,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.470453,0.075343,42.8109,0.212265,1.11823,0.0113767,0.455531,-0.0362754,40,0,0,0,0
#20265,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256928,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.470856,0.0752348,42.8393,0.161673,0.194225,0.0113317,0.455481,-0.0363435,40,0,0,0,0
20266,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256758,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.47086,0.0753122,42.7474,0.302474,-1.56898,0.0113998,0.455486,-0.0362375,40,0,0,0,0
20267,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.257296,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.470953,0.0753805,42.7669,-0.0429354,-0.33545,0.0113308,0.455624,-0.0363277,40,0,0,0,0
20269,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256717,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.47131,0.0753104,42.6834,0.116461,-0.137774,0.0114578,0.455505,-0.036181,40,0,0,0,0
20270,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256722,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.471492,0.0751981,42.7853,-0.745155,-2.2454,0.0112949,0.455505,-0.036181,40,0,0,0,0
20271,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256732,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.471506,0.0751437,42.7935,-0.250792,-0.561992,0.0112396,0.455505,-0.036181,40,0,0,0,0
20272,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256729,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.47156,0.0751597,42.7806,1.9651,3.65594,0.0112998,0.455505,-0.036181,40,0,0,0,0
20273,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256955,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.471285,0.0759234,42.6409,-0.70454,-1.48005,0.0113056,0.455505,-0.036181,40,0,0,0,0
20274,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256706,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.47093,0.0765798,42.6372,0.517404,-0.77181,0.0114438,0.455505,-0.036181,40,0,0,0,0
20275,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.256712,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.470399,0.0769421,42.713,0.275018,0.431454,0.0113268,0.455505,-0.036181,40,0,0,0,0
20276,020249,gear_desy2015_06e.xml,5.2,504,c504-ia24-trim28-gaincal.dat,desy_weibull_decorr_pos,0.25674,501,c501-ia24-trim30tb-gaincal.dat,desy_weibull_decorr_pos,0.469816,0.0775573,42.6042,0.084136,0.108195,0.0113011,0.455505,-0.036181,40,0,0,0,0
